candidate_id,family,state,energy_j,energy_mj,target_factor,band,learning_priority,energy_semantics,certified_model
e6cd2f43a6634cb11734f48f,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10003677.994283097,10.003677994283096,1.0003677994283098,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
36a6692a901c21cd14fac1ad,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10009304.637924349,10.009304637924348,1.000930463792435,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
f957e8a44b68b5f0c11fcd42,032E_COLLECTIVE_MULTISCALAR_TWIN_PNGB,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10027992.378034426,10.027992378034426,1.0027992378034425,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
640e75631fc54dcd4c4cf2c5,032E_COLLECTIVE_MULTISCALAR_TWIN_PNGB,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10101545.776737958,10.101545776737959,1.010154577673796,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
b68d5ead2cd6247ba9a6d818,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10116786.368259653,10.116786368259653,1.0116786368259654,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
0d515e98be83a26f60fddef7,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10122475.16472938,10.122475164729378,1.0122475164729379,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
567c700696dbe074944ec79c,032E_COLLECTIVE_MULTISCALAR_TWIN_PNGB,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10164204.230924688,10.164204230924689,1.016420423092469,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
6105dfe645abd8d99c331e61,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10225422.256963022,10.225422256963022,1.0225422256963022,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
b7b4ef1cf99f98ab7b773d70,032E_COLLECTIVE_MULTISCALAR_TWIN_PNGB,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10227251.121636882,10.227251121636883,1.0227251121636882,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
e1ec71cf63bb15aa6b7908b0,032C_TWIN_PNGB_DBI_METRIC,REJECTED_ENERGY_OBJECTIVE:ENERGY_ab8c16e45c837ffc,10234048.294996541,10.23404829499654,1.023404829499654,NEAR_MISS_10_TO_100MJ,HIGH_LEARNING_PRIORITY,AGMINER_STORED_ENERGY_AT_OBJECTIVE_REJECTION,False
